log_timestamp,date_read,log_value,library
6/2/2016 17:06,5/27/2016,1,Homewood
6/2/2016 17:09,5/25/2016,1,Homewood
6/2/2016 17:11,5/19/2016,1,Homewood
6/2/2016 17:12,5/12/2016,1,Homewood
6/2/2016 17:35,6/2/2016,1,Homewood
6/2/2016 18:07,6/1/2016,1,East Liberty
6/2/2016 18:08,6/2/2016,1,East Liberty
6/2/2016 19:33,6/2/2016,1,Brookline
6/2/2016 19:34,6/2/2016,1,Brookline
6/2/2016 19:36,6/2/2016,1,Brookline
6/2/2016 20:42,6/2/2016,1,Homewood
6/2/2016 20:42,5/31/2016,1,Homewood
6/2/2016 21:01,6/2/2016,1,Squirrel Hill
6/2/2016 21:12,6/2/2016,1,Lawrenceville
6/2/2016 21:15,6/2/2016,1,East Liberty
6/2/2016 21:23,6/2/2016,1,Main (Oakland)
6/2/2016 21:23,6/2/2016,1,Main (Oakland)
6/2/2016 21:37,5/25/2016,1,Squirrel Hill
6/2/2016 21:38,5/26/2016,1,Squirrel Hill
6/2/2016 21:39,5/28/2016,1,Squirrel Hill
6/2/2016 21:40,5/28/2016,1,Squirrel Hill
6/2/2016 21:47,6/2/2016,5,Allegheny
6/2/2016 23:01,6/2/2016,1,Squirrel Hill
6/2/2016 23:35,6/2/2016,1,Squirrel Hill
6/3/2016 0:17,6/2/2016,1,Squirrel Hill
6/3/2016 1:20,6/2/2016,1,South Side
6/3/2016 1:21,5/19/2016,1,South Side
6/3/2016 1:23,5/8/2016,1,South Side
6/3/2016 1:25,5/9/2016,1,South Side
6/3/2016 2:13,6/2/2016,1,Brookline
6/3/2016 2:16,6/1/2016,1,Brookline
6/3/2016 2:18,6/1/2016,1,Brookline
6/3/2016 2:19,6/2/2016,1,East Liberty
6/3/2016 2:35,6/2/2016,3,Homewood
6/3/2016 3:30,6/2/2016,1,Squirrel Hill
6/3/2016 13:06,6/2/2016,1,East Liberty
6/3/2016 13:15,6/3/2016,1,Woods Run
6/3/2016 13:19,5/29/2016,1,Woods Run
6/3/2016 13:46,6/3/2016,1,Beechview
6/3/2016 13:49,5/31/2016,1,Squirrel Hill
6/3/2016 15:47,6/3/2016,1,Mt. Washington
6/3/2016 15:47,6/3/2016,1,Mt. Washington
6/3/2016 16:16,6/2/2016,2,Squirrel Hill
6/3/2016 16:17,6/2/2016,1,Squirrel Hill
6/3/2016 16:41,6/2/2016,1,Main (Oakland)
6/3/2016 16:42,5/26/2016,1,Main (Oakland)
6/3/2016 16:49,6/2/2016,1,Squirrel Hill
6/3/2016 16:49,6/2/2016,1,Squirrel Hill
6/3/2016 16:51,6/2/2016,1,Squirrel Hill
6/3/2016 17:22,6/3/2016,1,Main (Oakland)
6/3/2016 18:02,6/3/2016,1,East Liberty
6/3/2016 18:13,6/3/2016,1,Brookline
6/3/2016 18:13,6/3/2016,1,Brookline
6/3/2016 18:26,6/2/2016,1,Squirrel Hill
6/3/2016 18:29,6/3/2016,1,Main (Oakland)
6/3/2016 18:46,5/25/2016,1,Squirrel Hill
6/3/2016 19:35,6/3/2016,1,
6/3/2016 19:36,6/3/2016,1,
6/3/2016 19:38,6/3/2016,1,
6/3/2016 19:39,6/3/2016,1,East Liberty
6/3/2016 19:48,6/2/2016,1,Squirrel Hill
6/3/2016 21:34,6/3/2016,3,Squirrel Hill
6/3/2016 21:46,6/3/2016,1,Main (Oakland)
6/3/2016 23:04,6/3/2016,1,Squirrel Hill
6/4/2016 0:09,6/3/2016,1,Squirrel Hill
6/4/2016 0:10,6/3/2016,1,Brookline
6/4/2016 0:11,6/3/2016,2,Brookline
6/4/2016 0:12,6/3/2016,1,Brookline
6/4/2016 0:55,6/3/2016,1,Squirrel Hill
6/4/2016 1:37,6/3/2016,1,Squirrel Hill
6/4/2016 8:40,5/20/2016,1,Main (Oakland)
6/4/2016 8:41,5/20/2016,1,Main (Oakland)
6/4/2016 8:41,5/20/2016,1,Main (Oakland)
6/4/2016 8:41,5/20/2016,1,Main (Oakland)
6/4/2016 8:41,6/1/2016,1,Main (Oakland)
6/4/2016 8:49,5/30/2016,1,Main (Oakland)
6/4/2016 12:13,6/4/2016,1,Squirrel Hill
6/4/2016 12:24,6/4/2016,1,Squirrel Hill
6/4/2016 12:37,6/4/2016,1,Beechview
6/4/2016 12:38,6/4/2016,1,Main (Oakland)
6/4/2016 12:56,6/3/2016,1,East Liberty
6/4/2016 13:02,5/31/2016,1,West End
6/4/2016 13:03,6/4/2016,1,West End
6/4/2016 13:06,5/29/2016,1,West End
6/4/2016 13:10,5/24/2016,1,Hazelwood
6/4/2016 13:10,5/29/2016,1,Hazelwood
6/4/2016 13:51,5/6/2016,1,Squirrel Hill
6/4/2016 13:53,6/3/2016,1,Lawrenceville
